SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43077,24,4,Accepted,30,748,10:00:26
43076,32,3,Accepted,30,864,10:00:24
43075,17,3,Accepted,30,855,10:00:09
43074,98,1,Accepted,30,380,9:59:42
43073,97,1,Accepted,30,561,9:59:41
43072,24,4,Runtime Error,24,738,9:59:19
43071,83,1,Accepted,30,177,9:58:54
43070,112,1,Accepted,30,311,9:58:33
43069,24,4,Runtime Error,24,738,9:57:29
43068,17,3,Wrong Answer,24,855,9:56:43
43067,13,4,Accepted,30,1211,9:56:13
43066,89,3,Runtime Error,24,906,9:56:06
43065,20,1,Accepted,30,428,9:55:05
43064,54,1,Accepted,30,399,9:54:57
43063,20,1,Accepted,30,430,9:54:41
43062,34,3,Wrong Answer,20,204,9:54:33
